name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['An Illustrated Book of Bad Arguments'],"
Almossawi,Ali",22.05,25.98,55,['EXPERIMENT                    '],Hardcover,23/09/2014,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615192250
['As a Man Thinketh'],"
Allen,James",5.73,6.75,36,['MARTINO FINE BOOKS            '],Paperback,20/04/2018,['110 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781684222094
['On Bullshit'],"
Frankfurt,HarryG.",13.54,15.95,80,['PRINCETON UNIV PR             '],Hardcover,30/01/2005,['109 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691122946
['A More Complete Beast'],"
Donovan,Jack",16.41,19.33,120,['LIGHTNING SOURCE INC          '],Paperback,06/09/2018,['51 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780985452377
['Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment'],"
Wright,Robert",23.92,28.18,336,['SIMON & SCHUSTER              '],Paperback,08/05/2018,['25 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781439195468
['The Virtue of Selfishness: Fiftieth Anniversary Edition'],"
Rand,Ayn",12.55,14.79,176,['SIGNET                        '],Mass,01/11/1964,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780451163936
['Society of the Spectacle'],"
Debord,Guy",14.05,16.56,120,['BLACK & RED                   '],Paperback,01/01/2002,['355 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780934868075
"[""Socrates' Children: Ancient: The 100 Greatest Philosophers""]","
Kreeft,Peter",42.1,49.59,232,['ST AUGUSTINES PR INC          '],Paperback,11/02/2019,['138 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781587317835
['Meditations'],"
Aurelius,Marcus",5.94,7.0,112,['DOVER PUBN INC                '],Paperback,11/07/1997,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486298238
['How to Grow Old: Ancient Wisdom for the Second Half of Life'],"
Cicero,MarcusTullius",23.86,28.11,216,['PRINCETON UNIV PR             '],Hardcover,29/03/2016,['124 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691167701
['The Origins and History of Consciousness'],"
Neumann,Erich",37.03,43.62,552,['PRINCETON UNIV PR             '],Paperback,24/08/2014,['79 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691163598
['Being and Time'],"
Heidegger,Martin",34.35,40.46,482,['STATE UNIV OF NY PR           '],Paperback,01/07/2010,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781438432762
['Liberty: Incorporating Four Essays on Liberty'],"
Berlin,Isaiah",77.26,91.01,416,['OXFORD UNIV PR                '],Paperback,23/05/2002,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780199249893
"[""Socrates' Children: Medieval: The 100 Greatest Philosophers""]","
Kreeft,Peter",38.35,45.18,152,['ST AUGUSTINES PR INC          '],Paperback,01/02/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781587317842
['Meditations'],"
Aurelius,Marcus",8.21,9.68,62,['LIGHTNING SOURCE INC          '],Paperback,27/12/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781945644573
"['Tantra Illuminated: The Philosophy, History, and Practice of a Timeless Tradition']","
Wallis,ChristopherD.",46.47,54.74,516,['MATTAMAYURA PR                '],Paperback,15/08/2013,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780989761307
['Krishnamurtis Notebook'],"
Krishnamurti,Jiddu",32.45,38.23,392,['KRISHNAMURTI PUBN OF AMER     '],Paperback,08/07/2008,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781888004632
"[""Heraclitus: The Inception of Occidental Thinking and Logic: Heraclitus's Doctrine of the Logos""]","
Heidegger,Martin",60.03,70.71,328,['BLOOMSBURY ACADEMIC US        '],Paperback,29/11/2018,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780826462411
['The Common Good'],"
Reich,RobertB.",35.51,41.83,208,['ALFRED A KNOPF                '],Hardcover,20/02/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525520498
['Miniature Guide to Critical Thinking: Concepts and Tools'],"
Paul,Richard",42.27,49.79,55,['EXPERIMENT                    '],Paperback,23/09/2014,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780985754402
"['Wabi-Sabi for Artists, Designers, Poets & Philosophers']","
Koren,Leonard",21.85,25.74,36,['MARTINO FINE BOOKS            '],Paperback,20/04/2018,['110 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780981484600
"['This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life']","
Wallace,DavidFoster",20.52,24.17,80,['PRINCETON UNIV PR             '],Hardcover,30/01/2005,['109 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316068222
['Fanged Noumena: Collected Writings 1987-2007'],"
Land,Nick",48.17,56.74,120,['LIGHTNING SOURCE INC          '],Paperback,06/09/2018,['51 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780955308789
"[""Aristotle's Way: How Ancient Wisdom Can Change Your Life""]","
Hall,Edith",38.21,45.01,336,['SIMON & SCHUSTER              '],Hardcover,08/05/2018,['25 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780735220805
['Meditations (Revised)'],"
Aurelius,Marcus",17.91,21.1,176,['SIGNET                        '],Paperback,01/11/1964,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780812968255
['Lying'],"
Harris,Sam",26.7,31.46,120,['BLACK & RED                   '],Hardcover,01/01/2002,['355 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781940051000
['Intelligence and Spirit'],"
Negarestani,Reza",49.95,58.84,232,['ST AUGUSTINES PR INC          '],Paperback,11/02/2019,['138 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780997567403
"['Plato: Euthyphro, Apology, Crito']","
Church,F.J.",64.04,75.44,112,['DOVER PUBN INC                '],Paperback,11/07/1997,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780023224102
['How to Be Free: An Ancient Guide to the Stoic Life'],"
Epictetus",27.44,32.33,216,['PRINCETON UNIV PR             '],Hardcover,29/03/2016,['124 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691177717
"['Socratic Logic: Edition 3.1: A Logic Text Using Socratic Method, Platonic Questions, & Aristotelian Principles']","
Kreeft,Peter",83.96,98.9,552,['PRINCETON UNIV PR             '],Hardcover,24/08/2014,['79 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781587318085
['Writings 1997-2003'],"
Ccru",40.85,48.12,482,['STATE UNIV OF NY PR           '],Paperback,01/07/2010,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780995455061
['The Book of Five Rings'],"
Musashi,Miyamoto",27.6,32.51,416,['OXFORD UNIV PR                '],Hardcover,23/05/2002,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781590309841
['The Te of Piglet'],"
Hoff,Benjamin",20.69,24.38,152,['ST AUGUSTINES PR INC          '],Paperback,01/02/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140230161
['The Missing Link: Reflections on Philosophy and Spirit'],"
Banks,Sydney",22.94,27.03,62,['LIGHTNING SOURCE INC          '],Paperback,27/12/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781772130171
['How to Win an Argument: An Ancient Guide to the Art of Persuasion'],"
Cicero,MarcusTullius",24.32,28.65,516,['MATTAMAYURA PR                '],Hardcover,15/08/2013,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691164335
['Symposium'],"
Plato",14.6,17.2,392,['KRISHNAMURTI PUBN OF AMER     '],Paperback,08/07/2008,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780199540198
"[""Justice: What's the Right Thing to Do?""]","
Sandel,MichaelJ.",22.9,26.98,328,['BLOOMSBURY ACADEMIC US        '],Paperback,29/11/2018,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374532505
"['Godel, Escher, Bach: An Eternal Golden Braid']","
Hofstadter,DouglasR.",42.12,49.62,208,['ALFRED A KNOPF                '],Paperback,20/02/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780465026562
['The Queer Art of Failure'],"
Halberstam,Jack",33.5,39.46,0,['FOUND FOR CRITICAL THINKING   '],Paperback,01/01/2014,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780822350453
['The Art of War'],"
Tzu,Sun",24.45,28.81,94,['IMPERFECT PUB                 '],Paperback,01/11/2008,['66 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780813319513
"[""Jordanetics: A Journey Into the Mind of Humanity's Greatest Thinker""]","
Day,Vox",28.15,33.16,137,['LITTLE BROWN & CO INC         '],Paperback,01/04/2009,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9789527065693
