name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['To Kill a Mockingbird'],"
Lee,Harper",12.57,15.35,288,['GRAND CENTRAL PUB MASS MARKET '],Mass,11/10/1988,['2647 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780446310789
['The Paris Seamstress'],"
Lester,Natasha",21.54,26.31,464,['FOREVER                       '],Paperback,18/09/2018,['62 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538714775
['Long Road to Mercy'],"
Baldacci,David",40.81,49.84,416,['GRAND CENTRAL PUB MASS MARKET '],Hardcover,13/11/2018,['350 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538761571
['Total Control'],"
Baldacci,David",27.43,33.5,656,['GRAND CENTRAL PUB MASS MARKET '],Paperback,29/01/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538711804
['The Alchemist'],"
Coelho,Paulo",22.62,27.63,208,['HARPER COLLINS                '],Paperback,15/04/2014,['605 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062315007
['Milkman'],"
Burns,Anna",23.64,28.87,360,['GRAY WOLF PR                  '],Paperback,04/12/2018,['238 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781644450000
['The Overstory'],"
Powers,Richard",40.87,49.91,512,['W W NORTON & CO INC           '],Hardcover,03/04/2018,['275 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393635522
['To Kill a Mockingbird'],"
Lee,Harper",20.44,24.96,336,['HARPER COLLINS                '],Paperback,05/07/2005,['1848 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780060935467
['The Chef'],"
Patterson,James",39.61,48.37,400,['LITTLE BROWN & CO INC         '],Hardcover,18/02/2019,['1357 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316453301
['Circe'],"
Miller,Madeline",38.63,47.17,400,['LEE BOUDREAUX                 '],Hardcover,10/04/2018,['296 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316556347
['The Tattooist of Auschwitz'],"
Morris,Heather",22.62,27.63,288,['HARPER COLLINS                '],Paperback,04/09/2018,['417 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062797155
"[""A Dog's Way Home Movie Tie-In""]","
Cameron,W.Bruce",20.66,25.23,336,['FORGE                         '],Paperback,27/11/2018,['427 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250301895
