name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['ICD-10-CM 2019 the Complete Official Codebook'],"
",188.31,221.81,['1300'],['AMER MEDICAL ASSOC            '],['(Spiral  - English                        - 9781622027736)'],['24/09/2018'],['213 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781622027736
['Tarascon Pocket Pharmacopoeia 2019 Classic Shirt-Pocket Edition'],"
",25.99,30.62,['312'],['TARASCON PR                   '],['(Paperback  - English                        - 9781284167528)'],['13/12/2018'],['465 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781284167528
['Tarascon Pocket Pharmacopoeia 2019 Deluxe Lab-Coat Edition'],"
",53.89,63.48,['524'],['TARASCON PR                   '],['(Paperback  - English                        - 9781284167542)'],['21/12/2018'],['203 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781284167542
['Why We Sleep: Unlocking the Power of Sleep and Dreams'],"
",24.15,28.45,['368'],['SCRIBNER  MACMILLAN           '],['(Paperback  - English                        - 9781501144325)'],['19/06/2018'],['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501144325
['Trail Guide to the Body Workbook'],"
",66.67,78.53,['230'],['BOOK OF DISCOVERY             '],['(Spiral  - English                        - 9780982978665)'],['01/08/2014'],['88 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780982978665
['Anatomy & Physiology Flash Cards'],"
",53.54,63.07,['335'],['SCIENTIFIC PUB LTD            '],['(Other  - English                        - 9781932922974)'],['16/08/2011'],['1493 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781932922974
['Basic Life Support (BLS) Provider Manual'],"
",43.08,50.75,['0'],['AMER HEART ASSOC              '],['(Paperback  - English                        - 9781616694074)'],['01/02/2016'],['210 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781616694074
['Being Mortal: Medicine and What Matters in the End'],"
",23.69,27.91,['304'],['PICADOR                       '],['(Paperback  - English                        - 9781250076229)'],['05/09/2017'],['172 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250076229
['Heart: A History'],"
",38.44,45.28,['288'],['FARRAR STRAUS & GIROUX        '],['(Hardcover  - English                        - 9780374168650)'],['18/09/2018'],['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374168650
['Interview Guide for Evaluation of Dsm-IV Disorders'],"
",18.63,21.95,['0'],['PSYCH PRODUCTS PR             '],['(Paperback  - English                        - 9780963382115)'],['01/09/2013'],['77 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780963382115
['The Immortal Life of Henrietta Lacks'],"
",23.78,28.01,['381'],['BROADWAY BOOKS                '],['(Paperback  - English                        - 9781400052189)'],['08/03/2011'],['171 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781400052189
['Tarascon Pocket Pharmacopoeia 2018 Classic Shirt-Pocket Edition'],"
",25.99,30.62,['292'],['JONES & BARTLETT PUBL INC     '],['(Paperback  - English                        - 9781284142594)'],['01/12/2017'],['50 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781284142594
['Ayurveda'],"
",30.12,35.48,['352'],['ALPHA BOOKS                   '],['(Paperback  - English                        - 9781465462763)'],['08/08/2017'],['41 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781465462763
['CPT Professional 2019'],"
",231.47,272.64,['975'],['AMER MEDICAL ASSOC            '],['(Spiral  - English                        - 9781622027521)'],['25/09/2018'],['283 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781622027521
['Diagnostic and Statistical Manual of Mental Disorders (Dsm-5(r))'],"
",307.0,361.61,['991'],['AMER PSYCHIATRIC PUB INC      '],['(Paperback  - English                        - 9780890425558)'],['21/07/2013'],['120 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780890425558
"[""Prescriber's Guide: Stahl's Essential Psychopharmacology""]","
",137.39,161.83,['890'],['CAMBRIDGE UNIV PR             '],['(Paperback  - English                        - 9781316618134)'],['30/04/2017'],['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781316618134
"[""Davis's Drug Guide for Nurses""]","
",106.86,125.87,['1488'],['F A DAVIS CO                  '],['(Paperback  - English                        - 9780803669451)'],['05/06/2018'],['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803669451
"['The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures']","
",21.8,25.68,['368'],['FARRAR STRAUS & GIROUX        '],['(Paperback  - English                        - 9780374533403)'],['24/04/2012'],['7 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374533403
['Ati Teas Test Study Guide 2018-2019: Ati Teas Study Manual with Full-Length Ati Teas Practice Tests for the Ati Teas 6 Exam'],"
",49.03,57.76,['228'],['TRIVIUM TEST PREP             '],['(Paperback  - English                        - 9781635302417)'],['11/01/2018'],['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781635302417
"[""Merriam-Webster's Medical Dictionary""]","
",14.61,17.22,['0'],['MERRIAM WEBSTER               '],['(Mass Market Paperbound  - English                        - 9780877792949)'],['01/03/2016'],['299 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780877792949
"[""Harrison's Principles of Internal Medicine, Twentieth Edition (Vol.1 & Vol.2)""]","
",542.53,639.03,['1300'],['AMER MEDICAL ASSOC            '],['(Boxed Set  - English                        - 9781259644030)'],['24/09/2018'],['213 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781259644030
['When Death Becomes Life: Notes from a Transplant Surgeon'],"
",40.59,47.81,['312'],['TARASCON PR                   '],['(Hardcover  - English                        - 9780062656209)'],['13/12/2018'],['465 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062656209
['Essentials of Psychiatric Mental Health Nursing: Concepts of Care in Evidence-Based Practice'],"
",191.51,225.58,['524'],['TARASCON PR                   '],['(Paperback  - English                        - 9780803658608)'],['21/12/2018'],['203 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803658608
['Tarascon Pocket Pharmacopoeia 2018 Deluxe Lab-Coat Edition'],"
",41.66,49.07,['368'],['SCRIBNER  MACMILLAN           '],['(Paperback  - English                        - 9781284142679)'],['19/06/2018'],['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781284142679
"[""Creating Moments of Joy Along the Alzheimer's Journey: A Guide for Families and Caregivers, Fifth Edition, Revised and Expanded""]","
",35.95,42.35,['230'],['BOOK OF DISCOVERY             '],['(Paperback  - English                        - 9781557537607)'],['01/08/2014'],['88 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781557537607
['7 Full-Length MCAT Practice Tests: 5 in the Book and 2 Online: 1610 MCAT Practice Questions Based on the Aamc Format'],"
",73.29,86.33,['335'],['SCIENTIFIC PUB LTD            '],['(Paperback  - English                        - 9781927338445)'],['16/08/2011'],['1493 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781927338445
['The Gene: An Intimate History'],"
",30.86,36.36,['0'],['AMER HEART ASSOC              '],['(Paperback  - English                        - 9781476733524)'],['01/02/2016'],['210 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781476733524
['Medical Terminology Systems: A Body Systems Approach'],"
",185.03,217.94,['304'],['PICADOR                       '],['(Paperback  - English                        - 9780803658677)'],['05/09/2017'],['172 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803658677
"['Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness']","
",22.22,26.18,['288'],['FARRAR STRAUS & GIROUX        '],['(Paperback  - English                        - 9780374537197)'],['18/09/2018'],['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374537197
"[""Nurse's Pocket Guide: Diagnoses, Prioritized Interventions and Rationales""]","
",101.59,119.67,['0'],['PSYCH PRODUCTS PR             '],['(Paperback  - English                        - 9780803644755)'],['01/09/2013'],['77 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803644755
['Dare: The New Way to End Anxiety and Stop Panic Attacks'],"
",34.32,40.43,['381'],['BROADWAY BOOKS                '],['(Paperback  - English                        - 9780956596253)'],['08/03/2011'],['171 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780956596253
['Diagnostic Classification of Mental Health and Developmental Disorders of Infancy and Early Childhood: DC: 0-5'],"
",92.0,108.37,['292'],['JONES & BARTLETT PUBL INC     '],['(Paperback  - English                        - 9781938558573)'],['01/12/2017'],['50 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781938558573
"[""Stahl's Essential Psychopharmacology: Neuroscientific Basis and Practical Applications""]","
",194.87,229.53,['352'],['ALPHA BOOKS                   '],['(Paperback  - English                        - 9781107686465)'],['08/08/2017'],['41 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781107686465
['The Spark in the Machine: How the Science of Acupuncture Explains the Mysteries of Western Medicine'],"
",28.28,33.32,['975'],['AMER MEDICAL ASSOC            '],['(Paperback  - English                        - 9781848191969)'],['25/09/2018'],['283 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781848191969
"[""Bakerman's ABC's of Interpretive Laboratory Data""]","
",105.1,123.8,['991'],['AMER PSYCHIATRIC PUB INC      '],['(Paperback  - English                        - 9780945577034)'],['21/07/2013'],['120 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780945577034
['Anatomy Coloring Book'],"
",40.29,47.46,['890'],['CAMBRIDGE UNIV PR             '],['(Paperback  - English                        - 9781506208527)'],['30/04/2017'],['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781506208527
"['Trail Guide to the Body Flashcards, Vol. 2: Muscles of the Body']","
",63.7,75.03,['1488'],['F A DAVIS CO                  '],['(Other  - English                        - 9780982978689)'],['05/06/2018'],['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780982978689
['Nclex-RN Drug Guide: 300 Medications You Need to Know for the Exam'],"
",24.24,28.56,['368'],['FARRAR STRAUS & GIROUX        '],['(Paperback  - English                        - 9781506223476)'],['24/04/2012'],['7 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781506223476
['The PDR Pocket Guide to Prescription Drugs'],"
",20.77,24.47,['228'],['TRIVIUM TEST PREP             '],['(Mass Market Paperbound  - English                        - 9781563638152)'],['11/01/2018'],['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781563638152
"[""Kill as Few Patients as Possible: And Fifty-Six Other Essays on How to Be the World's Best Doctor""]","
",20.5,24.15,['0'],['MERRIAM WEBSTER               '],['(Hardcover  - English                        - 9781580089173)'],['01/03/2016'],['299 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781580089173
['Being Mortal: Medicine and What Matters in the End'],"
",38.77,45.67,['0'],['MCGRAW HILL BOOK CO           '],['(Hardcover  - English                        - 9780805095159)'],['13/08/2018'],['22 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780805095159
"['First Aid for the USMLE Step 1 2019, Twenty-Ninth Edition']","
",122.8,144.65,['384'],['HARPER COLLINS                '],['(Paperback  - English                        - 9781260143676)'],['15/01/2019'],['28 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781260143676
"['Peripheral Brain for the Pharmacist, 201819']","
",46.61,54.91,['960'],['F A DAVIS CO                  '],['(Spiral  - English                        - 9781582123028)'],['21/10/2016'],['56 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781582123028
['ICD-10-PCs 2019 the Complete Official Codebook'],"
",180.57,212.69,['502'],['JONES & BARTLETT PUBL INC     '],['(Paperback  - English                        - 9781622027750)'],['25/12/2017'],['75 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781622027750
['Family Emergent/Urgent and Ambulatory Care: The Pocket NP'],"
",65.09,76.67,['376'],['PURDUE UNIV PR                '],['(Spiral  - English                        - 9780826134134)'],['15/11/2016'],['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780826134134
"['The S.T.A.B.L.E. Program, Learner Manual: Post-Resuscitation/ Pre-Transport Stabilization Care of Sick Infants- Guidelines for Neonatal Healthcare Pro']","
",103.56,121.98,['594'],['RUVENECO INC                  '],['(Paperback  - English                        - 9781937967024)'],['08/01/2019'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781937967024
['Nursing Theories and Nursing Practice'],"
",154.55,182.04,['608'],['SCRIBNER  MACMILLAN           '],['(Paperback  - English                        - 9780803633124)'],['02/05/2017'],['54 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803633124
['Pictorial Atlas of Acupuncture: An Illustrated Manual of Acupuncture Points'],"
",58.13,68.47,['624'],['F A DAVIS CO                  '],['(Hardcover  - English                        - 9783848002368)'],['01/07/2017'],['67 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9783848002368
"[""La Sante a la Pharmacie Du Bon Dieu: Conseils D'Utilisation Des Plantes Medicinales""]","
",27.85,32.81,['272'],['FARRAR STRAUS & GIROUX        '],['(Paperback  - French                         - 9783850687959)'],['17/10/2017'],['77 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9783850687959
"['Witches, Midwives, & Nurses (Second Edition): A History of Women Healers']","
",20.11,23.69,['1184'],['F A DAVIS CO                  '],['(Paperback  - English                        - 9781558616615)'],['13/01/2016'],['190 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781558616615
"[""Prescriber's Guide - Children and Adolescents: Volume 1: Stahl's Essential Psychopharmacology""]","
",76.29,89.86,['244'],['LIGHTNING SOURCE INC          '],['(Paperback  - English                        - 9781108446563)'],['08/05/2015'],['3660 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781108446563
['Pediatric Avanced Life Support (Pals) Provider Manual'],"
",150.82,177.65,['0'],['ZERO TO THREE                 '],['(Paperback  - English                        - 9781616695590)'],['08/12/2016'],['184 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781616695590
"[""The Ghost Map: The Story of London's Most Terrifying Epidemic--And How It Changed Science, Cities, and the Modern World""]","
",24.15,28.45,['626'],['CAMBRIDGE UNIV PR             '],['(Paperback  - English                        - 9781594482694)'],['27/05/2013'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781594482694
['The Checklist Manifesto: How to Get Things Right'],"
",23.46,27.64,['294'],['SINGING DRAGON                '],['(Paperback  - English                        - 9780312430009)'],['20/03/2014'],['38 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780312430009
['ATI TEAS Study Guide Version 6: TEAS 6 Test Prep and Practice Test Questions for the Test of Essential Academic Skills'],"
",60.88,71.71,['0'],['INTERPRETIVE LABORATORY DATA  '],['(Paperback  - English                        - 9781941743904)'],['01/08/2014'],['27 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781941743904
['Understanding Ultrasound Physics'],"
",270.26,318.33,['352'],['KAPLAN                        '],['(Hardcover  - English                        - 9780962644450)'],['04/07/2017'],['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780962644450
['Ptcb Exam Study Guide 2017-2018: Test Prep and Practice Test Questions for the Pharmacy Technician Certification Board Examination'],"
",58.65,69.09,['0'],['BOOK OF DISCOVERY             '],['(Paperback  - English                        - 9781635301489)'],['01/06/2014'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781635301489
['Tarascon Adult Emergency Pocketbook'],"
",43.3,51.01,['336'],['KAPLAN                        '],['(Paperback  - English                        - 9781449665784)'],['01/08/2017'],['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781449665784
['The Mystery of the Exploding Teeth: And Other Curiosities from the History of Medicine'],"
",37.2,43.82,['1300'],['PDR CONSUMER                  '],['(Hardcover  - English                        - 9781524743680)'],['01/01/2013'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781524743680
['Cosmetic Injection Techniques: A Text and Video Guide to Neurotoxins and Fillers'],"
",260.88,307.29,['109'],['TEN SPEED PR                  '],['(Hardcover  - English                        - 9781626234574)'],['01/04/2008'],['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781626234574
['Patient Care Skills'],"
",298.84,352.0,['1300'],['AMER MEDICAL ASSOC            '],['(Spiral  - English                        - 9780133055870)'],['24/09/2018'],['213 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780133055870
"[""Clinician's Guide to Laboratory Medicine: Pocket""]","
",44.22,52.09,['312'],['TARASCON PR                   '],['(Paperback  - English                        - 9780972556187)'],['13/12/2018'],['465 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780972556187
['Stem Cell Therapy: A Rising Tide: How Stem Cells Are Disrupting Medicine and Transforming Lives'],"
",58.67,69.11,['524'],['TARASCON PR                   '],['(Paperback  - English                        - 9780999045305)'],['21/12/2018'],['203 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780999045305
['Core Radiology: A Visual Approach to Diagnostic Imaging'],"
",223.45,263.2,['368'],['SCRIBNER  MACMILLAN           '],['(Paperback  - English                        - 9781107679689)'],['19/06/2018'],['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781107679689
['Between Heaven and Earth'],"
",26.87,31.65,['230'],['BOOK OF DISCOVERY             '],['(Paperback  - English                        - 9780345379740)'],['01/08/2014'],['88 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780345379740
"['The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease, and Inheritance']","
",28.18,33.2,['335'],['SCIENTIFIC PUB LTD            '],['(Paperback  - English                        - 9780231161176)'],['16/08/2011'],['1493 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780231161176
"[""Resilience: The Science of Mastering Life's Greatest Challenges""]","
",36.57,43.08,['0'],['AMER HEART ASSOC              '],['(Paperback  - English                        - 9781108441667)'],['01/02/2016'],['210 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781108441667
"['ATI TEAS Secrets Study Guide: TEAS 6 Complete Study Manual, Full-Length Practice Tests, Review Video Tutorials for the Test of Essential Academic Sk']","
",73.93,87.08,['304'],['PICADOR                       '],['(Paperback  - English                        - 9781516703838)'],['05/09/2017'],['172 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781516703838
['Cosmetic Injection Techniques: A Text and Video Guide to Neurotoxins and Fillers'],"
",227.28,267.71,['288'],['FARRAR STRAUS & GIROUX        '],['(Hardcover  - English                        - 9781604067125)'],['18/09/2018'],['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781604067125
['Tarascon Primary Care Pocketbook'],"
",37.79,44.52,['0'],['PSYCH PRODUCTS PR             '],['(Paperback  - English                        - 9781449665753)'],['01/09/2013'],['77 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781449665753
['It Hurts When I Poop! a Story for Children Who Are Scared to Use the Potty'],"
",13.82,16.28,['381'],['BROADWAY BOOKS                '],['(Paperback  - English                        - 9781433801310)'],['08/03/2011'],['171 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433801310
['Control of Communicable Diseases Manual'],"
",130.23,153.4,['292'],['JONES & BARTLETT PUBL INC     '],['(Paperback  - English                        - 9780875530185)'],['01/12/2017'],['50 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780875530185
"['The Regional Medical Campus: A Resource for Faculty, Staff and Learners']","
",42.34,49.88,['352'],['ALPHA BOOKS                   '],['(Paperback  - English                        - 9781620234938)'],['08/08/2017'],['41 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781620234938
['Emergency Care Plus Mybradylab with Pearson Etext -- Access Card Package'],"
",458.18,539.68,['975'],['AMER MEDICAL ASSOC            '],['(Hardcover  - English                        - 9780134190754)'],['25/09/2018'],['283 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780134190754
"[""Complications: A Surgeon's Notes on an Imperfect Science""]","
",23.69,27.91,['991'],['AMER PSYCHIATRIC PUB INC      '],['(Paperback  - English                        - 9780312421700)'],['21/07/2013'],['120 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780312421700
"[""Better: A Surgeon's Notes on Performance""]","
",23.69,27.91,['890'],['CAMBRIDGE UNIV PR             '],['(Paperback  - English                        - 9780312427658)'],['30/04/2017'],['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780312427658
['H & P Exam Pocketcard Set'],"
",17.93,21.13,['1488'],['F A DAVIS CO                  '],['(Other  - English                        - 9781591030973)'],['05/06/2018'],['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781591030973
['Influenza: The Hundred Year Hunt to Cure the Deadliest Disease in History'],"
",37.74,44.46,['368'],['FARRAR STRAUS & GIROUX        '],['(Hardcover  - English                        - 9781501181245)'],['24/04/2012'],['7 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501181245
['CPT Changes 2019'],"
",132.5,156.07,['228'],['TRIVIUM TEST PREP             '],['(Spiral  - English                        - 9781622027545)'],['11/01/2018'],['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781622027545
['Medical Assistant Exam Prep: Practice Test + Proven Strategies'],"
",59.89,70.55,['0'],['MERRIAM WEBSTER               '],['(Paperback  - English                        - 9781506223490)'],['01/03/2016'],['299 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781506223490
['Community Organizing and Community Building for Health and Welfare'],"
",78.65,92.65,['0'],['MCGRAW HILL BOOK CO           '],['(Paperback  - English                        - 9780813553009)'],['13/08/2018'],['22 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780813553009
['Pediatric Telephone Protocols: Office Version'],"
",227.95,268.5,['384'],['HARPER COLLINS                '],['(Spiral  - English                        - 9781610021968)'],['15/01/2019'],['28 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781610021968
['Psychology'],"
",77.48,91.27,['960'],['F A DAVIS CO                  '],['(Paperback  - English                        - 9781680922363)'],['21/10/2016'],['56 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781680922363
['100 Questions & Answers about Mesothelioma'],"
",27.37,32.24,['502'],['JONES & BARTLETT PUBL INC     '],['(Paperback  - English                        - 9781449688080)'],['25/12/2017'],['75 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781449688080
['The Emperor of All Maladies: A Biography of Cancer'],"
",36.29,42.75,['376'],['PURDUE UNIV PR                '],['(Paperback  - English                        - 9781439170915)'],['15/11/2016'],['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781439170915
['Who Classification of Skin Tumours'],"
",375.69,442.51,['594'],['RUVENECO INC                  '],['(Paperback  - English                        - 9789283224402)'],['08/01/2019'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9789283224402
['Complete Math Review for the Pharmacy Technician'],"
",104.12,122.64,['608'],['SCRIBNER  MACMILLAN           '],['(Paperback  - English                        - 9781582121970)'],['02/05/2017'],['54 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781582121970
"[""The Echocardiographer's Pocket Reference""]","
",237.7,279.98,['624'],['F A DAVIS CO                  '],['(Spiral  - English                        - 9780615768359)'],['01/07/2017'],['67 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780615768359
['Nutrition Essentials for Mental Health: A Complete Guide to the Food-Mood Connection'],"
",81.52,96.02,['272'],['FARRAR STRAUS & GIROUX        '],['(Hardcover  - English                        - 9780393709940)'],['17/10/2017'],['77 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393709940
['Applied Theories in Occupational Therapy: A Practical Approach'],"
",145.54,171.43,['1184'],['F A DAVIS CO                  '],['(Paperback  - English                        - 9781556425738)'],['13/01/2016'],['190 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781556425738
"[""Ayurveda Beginner's Guide: Essential Ayurvedic Principles and Practices to Balance and Heal Naturally""]","
",22.79,26.85,['244'],['LIGHTNING SOURCE INC          '],['(Paperback  - English                        - 9781939754172)'],['08/05/2015'],['3660 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781939754172
"['Critical Care Examination Review Updated 4th Edition: Over 1,200 Questions & Answer Rationales!']","
",84.02,98.97,['0'],['ZERO TO THREE                 '],['(Paperback  - English                        - 9780962724695)'],['08/12/2016'],['184 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780962724695
['The Hidden Plague: A Field Guide for Surviving & Overcoming Hidradenitis Suppurativa'],"
",58.5,68.91,['626'],['CAMBRIDGE UNIV PR             '],['(Hardcover  - English                        - 9781939563019)'],['27/05/2013'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781939563019
['Saunders Comprehensive Review for the Nclex-Rn? Examination'],"
",157.22,185.19,['294'],['SINGING DRAGON                '],['(Paperback  - English                        - 9780323358514)'],['20/03/2014'],['38 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780323358514
['Understanding Medical-Surgical Nursing'],"
",225.73,265.88,['0'],['INTERPRETIVE LABORATORY DATA  '],['(Hardcover  - English                        - 9780803640689)'],['01/08/2014'],['27 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780803640689
['Psychiatric-Mental Health Nursing: Scope and Standards of Practice'],"
",71.35,84.05,['352'],['KAPLAN                        '],['(Paperback  - English                        - 9781558105553)'],['04/07/2017'],['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781558105553
['Study Guide for Introduction to Clinical Pharmacology'],"
",95.3,112.25,['0'],['BOOK OF DISCOVERY             '],['(Paperback  - English                        - 9780323189002)'],['01/06/2014'],[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780323189002
['A Call to Medical Evangelism and Health Education: Selections from the Writings of Ellen G. White'],"
",7.59,8.94,['336'],['KAPLAN                        '],['(Hardcover  - English                        - 9780828025461)'],['01/08/2017'],['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780828025461
