name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['12 Rules for Life: An Antidote to Chaos'],"
Peterson,JordanB.",38.92,45.85,448,['RH CANADA                     '],Hardcover,23/01/2018,['2167 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780345816023
['Publication Manual of the American Psychological Association'],"
AmericanPsychologicalAssociation",59.94,70.61,272,['AMER PSYCHOLOGICAL ASSN       '],Paperback,28/07/2009,['3740 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433805615
"['CBT Toolbox for Children and Adolescents: Over 220 Worksheets & Exercises for Trauma, ADHD, Autism, Anxiety, Depression & Conduct Disorders']","
Phifer,Lisa",51.6,60.78,0,['PREMIER EDUCATION SOLUTIONS   '],Spiral,01/09/2017,['642 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781683730750
['Publication Manual of the American Psychological Association'],"
AmericanPsychologicalAssociation",72.72,85.66,272,['AMER PSYCHOLOGICAL ASSN       '],Spiral,01/07/2009,['662 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781433805622
"['First, We Make the Beast Beautiful: A New Journey Through Anxiety']","
Wilson,Sarah",36.49,42.99,320,['DEY STREET BOOKS              '],Hardcover,24/04/2018,['45 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062836786
"[""Factfulness: Ten Reasons We're Wrong about the World--And Why Things Are Better Than You Think""]","
Rosling,Hans",40.27,47.44,352,['FLATIRON                      '],Hardcover,03/04/2018,['138 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250107817
"['The Social Leap: The New Evolutionary Science of Who We Are, Where We Come From, and What Makes Us Happy']","
VonHippel,William",39.45,46.47,304,['HARPER WAVE                   '],Hardcover,13/11/2018,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062740397
"['The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma']","
VanDerKolk,Bessel",26.08,30.73,464,['PENGUIN GROUP                 '],Paperback,08/09/2015,['31 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143127741
['Catafalque (2-Volume Set): Carl Jung and the End of Humanity'],"
Kingsley,Peter",175.75,207.01,848,['LIGHTNING SOURCE INC          '],Hardcover,01/11/2018,['66 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781999638405
"[""Women Rowing North: Navigating Life's Currents and Flourishing as We Age""]","
Pipher,Mary",38.9,45.82,272,['BLOOMSBURY                    '],Hardcover,15/01/2019,['56 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781632869609
"['Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts']","
Tavris,Carol",28.03,33.02,400,['MARINER BOOKS                 '],Paperback,20/10/2015,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544574786
"['Dbt(r) Skills Training Handouts and Worksheets, Second Edition']","
Linehan,MarshaM.",78.88,92.91,422,['GUILFORD PUBN                 '],Paperback,21/10/2014,['76 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781572307810
"['The Mind of the Leader: How to Lead Yourself, Your People, and Your Organization for Extraordinary Results']","
Hougaard,Rasmus",48.24,56.83,256,['HARVARD BUSINESS              '],Hardcover,13/03/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781633693425
