name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['Principles: Life and Work'],"
Dalio,Ray",45.61,53.73,592,['SIMON & SCHUSTER              '],Hardcover,19/09/2017,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501124020
['Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.'],"
Brown,Brene",39.23,46.21,320,['RANDOM HOUSE INC              '],Hardcover,09/10/2018,['334 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399592522
"['Strengths Based Leadership: Great Leaders, Teams, and Why People Follow']","
Rath,Tom",44.9,52.89,266,['GALLUP                        '],Hardcover,06/01/2009,['173 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781595620255
['Rich Dad Poor Dad: What the Rich Teach Their Kids about Money That the Poor and Middle Class Do Not!'],"
Kiyosaki,RobertT.",11.3,14.15,336,['PLATA PUB                     '],Mass,11/04/2017,['135 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781612680194
['Never Split the Difference: Negotiating as If Your Life Depended on It'],"
Voss,Chris",45.06,53.08,288,['HARPER BUSINESS               '],Hardcover,17/05/2016,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062407801
"['The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever']","
Michael,BungayStanier",20.11,25.17,242,['BOX OF CRAYONS PR             '],Paperback,15/02/2016,['76 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780978440749
"[""Leaders Eat Last: Why Some Teams Pull Together and Others Don't""]","
Sinek,Simon",26.39,33.03,368,['PORTFOLIO                     '],Paperback,23/05/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781591848011
"['No Ego: How Leaders Can Cut the Cost of Workplace Drama, End Entitlement, and Drive Big Results']","
Wakeman,Cy",36.82,43.38,224,['ST MARTINS PR INC             '],Hardcover,19/09/2017,['36 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250144065
['The Compound Effect: Multiplying Your Success One Simple Step at a Time'],"
Hardy,Darren",20.25,25.35,172,['VANGUARD PR                   '],Paperback,02/10/2012,['92 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781593157241
['Start with Why: How Great Leaders Inspire Everyone to Take Action'],"
Sinek,Simon",23.81,29.8,246,['PORTFOLIO                     '],Paperback,27/12/2011,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781591846444
['High Performance Planner Full-Year Pack: 6 Planners = 12-Month Supply'],"
Burchard,Brendon",145.21,171.04,1152,['HAY HOUSE                     '],Other,02/11/2018,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781401957315
['The Goal: A Process of Ongoing Improvement'],"
Goldratt,EliyahuM.",37.49,44.16,408,['NORTH RIVER PR INC            '],Paperback,01/06/2012,['296 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780884271956
['Emotional Intelligence 2.0: With Access Code'],"
Bradberry,Travis",34.8,40.99,255,['TALENTSMART                   '],Hardcover,16/06/2009,['882 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780974320625
['The Power of Moments: Why Certain Experiences Have Extraordinary Impact'],"
Heath,Chip",40.25,47.41,320,['SIMON & SCHUSTER              '],Hardcover,03/10/2017,['54 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501147760
"[""Good to Great: Why Some Companies Make the Leap...and Others Don't""]","
Collins,Jim",52.34,61.66,320,['HARPER COLLINS                '],Hardcover,16/10/2001,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780066620992
"['Way of the Wolf: Straight Line Selling: Master the Art of Persuasion, Influence, and Success']","
Belfort,Jordan",21.86,27.36,256,['GALLERY BOOKS                 '],Paperback,25/09/2018,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501164309
"['Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with Okrs']","
Doerr,John",37.75,44.47,320,['PORTFOLIO                     '],Hardcover,24/04/2018,['147 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525536222
['Traction: Get a Grip on Your Business'],"
Wickman,Gino",23.1,28.92,250,['BENBELLA BOOKS                '],Paperback,03/04/2012,['239 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781936661831
['The Intelligent Investor REV Ed.'],"
Graham,Benjamin",35.89,42.28,640,['HARPER BUSINESS               '],Paperback,21/02/2006,['103 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780060555665
['Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life'],"
Johnson,Spencer",28.16,35.25,96,['PENGUIN GROUP                 '],Hardcover,08/09/1998,['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399144462
['Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine'],"
Michalowicz,Mike",37.75,44.47,592,['SIMON & SCHUSTER              '],Hardcover,19/09/2017,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780735214149
"[""The Millionaire Next Door: The Surprising Secrets of America's Wealthy""]","
Stanley,ThomasJ.",23.32,29.19,320,['RANDOM HOUSE INC              '],Paperback,09/10/2018,['334 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781589795471
['Leadership and Self-Deception: Getting Out of the Box'],"
ArbingerInstitute",27.67,34.64,266,['GALLUP                        '],Paperback,06/01/2009,['173 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781523097807
['Bad Blood: Secrets and Lies in a Silicon Valley Startup'],"
Carreyrou,John",41.68,49.1,336,['PLATA PUB                     '],Hardcover,11/04/2017,['135 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781524731656
"[""It's Your Ship: Management Techniques from the Best Damn Ship in the Navy""]","
Abrashoff,D.Michael",45.11,53.14,288,['HARPER BUSINESS               '],Hardcover,17/05/2016,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781455523023
"['The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter']","
Watkins,MichaelD.",41.67,49.09,242,['BOX OF CRAYONS PR             '],Hardcover,15/02/2016,['76 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781422188613
['High Output Management'],"
Grove,AndrewS.",25.08,31.4,368,['PORTFOLIO                     '],Paperback,23/05/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780679762881
['The Strangest Secret'],"
Nightingale,Earl",6.9,8.64,224,['ST MARTINS PR INC             '],Paperback,19/09/2017,['36 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781603865579
['Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity'],"
Scott,Kim",39.45,46.47,172,['VANGUARD PR                   '],Hardcover,02/10/2012,['92 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250103505
['Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones'],"
Clear,James",38.9,45.82,246,['PORTFOLIO                     '],Hardcover,27/12/2011,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780735211292
['Capitalism Without Capital: The Rise of the Intangible Economy'],"
Haskel,Jonathan",50.01,58.91,1152,['HAY HOUSE                     '],Hardcover,02/11/2018,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691175034
['Building a Storybrand: Clarify Your Message So Customers Will Listen'],"
Miller,Donald",34.34,40.45,408,['NORTH RIVER PR INC            '],Hardcover,01/06/2012,['296 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718033323
['Rich Dad Poor Dad: What the Rich Teach Their Kids about Money That the Poor and Middle Class Do Not!'],"
Kiyosaki,RobertT.",24.28,30.39,255,['TALENTSMART                   '],Paperback,16/06/2009,['882 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781612680170
['Setting the Table'],"
Meyer,Danny",22.29,27.9,320,['SIMON & SCHUSTER              '],Paperback,03/10/2017,['54 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780060742768
['The Dream Manager'],"
Kelly,Matthew",28.16,35.25,320,['HARPER COLLINS                '],Hardcover,16/10/2001,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781401303709
['Big Debt Crises'],"
Dalio,Ray",91.64,107.95,256,['GALLERY BOOKS                 '],Hardcover,25/09/2018,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781732689800
"['Crucial Conversations Tools for Talking When Stakes Are High, Second Edition']","
Patterson,Kerry",26.46,33.12,320,['PORTFOLIO                     '],Paperback,24/04/2018,['147 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780071771320
['The Language of Influence and Personal Power: 316 Insights for Life and Leading'],"
Hagan,Scott",21.4,26.79,250,['BENBELLA BOOKS                '],Paperback,03/04/2012,['239 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781944833565
['A Guide to the Project Management Body of Knowledge'],"
ProjectManagementInstitute",138.99,163.72,640,['HARPER BUSINESS               '],Paperback,21/02/2006,['103 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781628251845
"['AI Superpowers: China, Silicon Valley, and the New World Order']","
Lee,Kai-Fu",45.37,53.45,96,['PENGUIN GROUP                 '],Hardcover,08/09/1998,['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328546395
['The Lean Six SIGMA Pocket Toolbook: A Quick Reference Guide to Nearly 100 Tools for Improving Quality and Speed'],"
George,MichaelL.",26.2,32.8,224,['PORTFOLIO                     '],Paperback,21/02/2017,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780071441193
['Tax-Free Wealth: How to Build Massive Wealth by Permanently Lowering Your Taxes'],"
Wheelwright,Tom",30.86,38.63,272,['TAYLOR PUB                    '],Paperback,16/11/2010,['362 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781947588059
['Sell or Be Sold: How to Get Your Way in Business and in Life'],"
Cardone,Grant",41.01,48.31,240,['BERRETT-KOEHLER               '],Hardcover,04/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781608322565
['The Hard Thing about Hard Things: Building a Business When There Are No Easy Answers'],"
Horowitz,Ben",41.94,49.4,352,['ALFRED A KNOPF                '],Hardcover,21/05/2018,['5 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062273208
['Strengthsfinder 2.0'],"
Rath,Tom",45.33,53.4,228,['BUSINESS PLUS                 '],Hardcover,09/10/2012,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781595620156
['Cracking the Coding Interview: 189 Programming Questions and Solutions'],"
McDowell,GayleLaakmann",67.28,79.25,304,['HARVARD BUSINESS              '],Paperback,14/05/2013,['1072 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780984782857
"[""The Only Investment Guide You'll Ever Need""]","
Tobias,Andrew",21.93,27.45,272,['VINTAGE BOOKS                 '],Paperback,29/08/1995,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544781931
['Fish!: A Remarkable Way to Boost Morale and Improve Results'],"
Lundin,StephenC.",28.16,35.25,44,['MERCHANT BOOKS                '],Hardcover,03/04/2013,['63 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780786866021
['The Trump Tax Cut: Your Personal Guide to the New Tax Law'],"
Rosenberg,Eva",31.41,39.32,272,['ST MARTINS PR INC             '],Paperback,14/03/2017,['56 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781630061050
['Spin Selling'],"
Rackham,Neil",46.94,55.29,320,['AVERY PUB GROUP               '],Hardcover,16/10/2018,['368 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780070511132
"['Budgeting 101: From Getting Out of Debt and Tracking Expenses to Setting Financial Goals and Building Your Savings, Your Essential Gu']","
Cagan,Michele",26.02,32.57,288,['PRINCETON UNIV PR             '],Hardcover,28/11/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781507209073
['Driven: The Never-Give-Up Roadmap to Massive Success'],"
Khoshbin,Manny",25.8,32.3,240,['HARPERCOLLINS LEADERSHIP      '],Paperback,10/10/2017,['187 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781599186245
['The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You'],"
Maxwell,JohnC.",38.43,45.27,336,['PLATA PUB                     '],Hardcover,11/04/2017,['142 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780785288374
['A Whole New Mind: Why Right-Brainers Will Rule the Future'],"
Pink,DanielH.",22.51,28.18,320,['HARPER COLLINS                '],Paperback,29/01/2008,['96 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781594481710
['Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets'],"
Taleb,NassimNicholas",27.38,34.28,158,['HACHETTE AUDIO PA             '],Paperback,21/08/2007,['151 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780812975215
['Talent Wins: The New Playbook for Putting People First'],"
Charan,Ram",41.26,48.61,456,['GREENLEAF BOOK GROUP LLC      '],Hardcover,01/11/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781633691186
['Powerful: Building a Culture of Freedom and Responsibility'],"
McCord,Patty",37.23,43.86,272,['MCGRAW HILL BOOK CO           '],Hardcover,09/09/2011,['213 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781939714091
['The Tyranny of Metrics'],"
Muller,JerryZ.",35.43,41.74,196,['KPT PUB                       '],Hardcover,18/12/2018,['3 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691174952
['Winners Take All: The Elite Charade of Changing the World'],"
Giridharadas,Anand",39.98,47.1,756,['PROJECT MGMT INST             '],Hardcover,22/09/2017,['71 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780451493248
['Capital in the Twenty-First Century'],"
Piketty,Thomas",34.46,40.6,272,['HOUGHTON MIFFLIN              '],Paperback,25/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780674979857
"[""The Millennial Whisperer: The Practical, Profit-Focused Playbook for Working with and Motivating the World's Largest Generation""]","
Tuff,Chris",35.2,41.47,592,['SIMON & SCHUSTER              '],Hardcover,19/09/2017,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781642792799
"[""Leading Transformation: How to Take Charge of Your Company's Future""]","
Furr,Nathan",44.67,52.62,320,['RANDOM HOUSE INC              '],Hardcover,09/10/2018,['334 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781633696549
['Effective Phrases for Performance Appraisals: A Guide to Successful Evaluations'],"
Neal,JamesE.,Jr.",30.29,37.92,266,['GALLUP                        '],Paperback,06/01/2009,['173 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781882423132
['The Servant: A Simple Story about the True Essence of Leadership'],"
Hunter,JamesC.",38.54,45.4,336,['PLATA PUB                     '],Hardcover,11/04/2017,['135 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780761513698
['Ninja Selling: Subtle Skills. Big Results.'],"
Kendall,Larry",38.96,45.9,288,['HARPER BUSINESS               '],Hardcover,17/05/2016,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781626342842
['Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated f'],"
Robin,Vicki",25.89,32.41,242,['BOX OF CRAYONS PR             '],Paperback,15/02/2016,['76 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143115762
"[""That's What She Said: What Men Need to Know (and Women Need to Tell Them) about Working Together""]","
Lipman,Joanne",46.79,55.12,368,['PORTFOLIO                     '],Hardcover,23/05/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062437211
['I Will Teach You to Be Rich'],"
Sethi,Ramit",19.93,24.95,224,['ST MARTINS PR INC             '],Paperback,19/09/2017,['36 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780761147480
['The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness'],"
Ramsey,Dave",40.03,47.16,172,['VANGUARD PR                   '],Hardcover,02/10/2012,['92 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781595555274
['Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com'],"
Ross,Aaron",20.54,25.71,246,['PORTFOLIO                     '],Paperback,27/12/2011,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780984380213
['Gap Selling: Getting the Customer to Yes: How Problem-Centric Selling Increases Sales by Changing Everything You Know about Relatio'],"
Keenan",60.54,71.31,1152,['HAY HOUSE                     '],Hardcover,02/11/2018,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781732891005
"[""Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts""]","
Duke,Annie",36.97,43.55,408,['NORTH RIVER PR INC            '],Hardcover,01/06/2012,['296 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780735216358
['A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing'],"
Malkiel,BurtonG.",26.83,33.59,255,['TALENTSMART                   '],Paperback,16/06/2009,['882 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393352245
['TED Talks: The Official TED Guide to Public Speaking'],"
Anderson,Chris",20.9,26.16,320,['SIMON & SCHUSTER              '],Paperback,03/10/2017,['54 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328710284
['Everyday Millionaires: How Ordinary People Built Extraordinary Wealth--And How You Can Too'],"
Hogan,Chris",35.7,42.06,320,['HARPER COLLINS                '],Hardcover,16/10/2001,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780977489527
['Move Your Bus: An Extraordinary New Approach to Accelerating Success in Work and Life'],"
Clark,Ron",29.12,36.45,256,['GALLERY BOOKS                 '],Hardcover,25/09/2018,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501105036
['Mastering the Market Cycle: Getting the Odds on Your Side'],"
Marks,Howard",42.41,49.96,320,['PORTFOLIO                     '],Hardcover,24/04/2018,['147 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328479259
"['The Bullet Journal Method: Track the Past, Order the Present, Design the Future']","
Carroll,Ryder",36.74,43.28,250,['BENBELLA BOOKS                '],Hardcover,03/04/2012,['239 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525533337
['From Mopping Floors to Making Millions on Instagram: 5 Steps to Building an Online Brand'],"
Brown,Ronne",19.29,24.15,640,['HARPER BUSINESS               '],Paperback,21/02/2006,['103 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781682615362
"['How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job']","
Helgesen,Sally",39.0,45.94,96,['PENGUIN GROUP                 '],Hardcover,08/09/1998,['193 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316440127
['Family Child Care 2018 Tax Workbook and Organizer'],"
Copeland,Tom",31.49,39.42,224,['PORTFOLIO                     '],Paperback,21/02/2017,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781605546483
