name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['Bloodborne: The Death of Sleep'],"
Kot,Ales",26.28,32.09,112,['TITAN BOOKS                   '],Paperback,23/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781785863448
['Shiver: Junji Ito Selected Stories'],"
Ito,Junji",34.25,41.83,392,['VIZ LLC                       '],Hardcover,19/12/2017,['49 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781421596938
['The Search'],"
Yang,GeneLuen",66.21,77.99,238,['DARK HORSE COMICS             '],Hardcover,18/02/2014,['7 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781616552268
['To Kill a Mockingbird: A Graphic Novel'],"
Lee,Harper",38.1,46.53,288,['HARPER COLLINS                '],Hardcover,30/10/2018,['214 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062798183
['Psycho Kid vs. Psycho Dad'],"
Ridgway,Jesse",46.65,54.95,104,['LIGHTNING SOURCE INC          '],Hardcover,14/12/2018,['79 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780578422794
['Batman: White Knight'],"
Murphy,Sean",28.0,34.19,232,['D C COMICS                    '],Paperback,09/10/2018,['7 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781401279592
"['My Hero Academia, Vol. 14']","
Horikoshi,Kohei",13.77,16.82,208,['VIZ LLC                       '],Paperback,07/08/2018,['85 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781421599472
"['Monstress, Volume 1: Awakening']","
Liu,Marjorie",16.19,19.78,192,['IMAGE COMICS                  '],Paperback,19/07/2016,['25 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781632157096
['Planet of the Apes Visionaries'],"
Boulle,Pierre",29.98,36.61,112,['BOOM STUDIOS                  '],Hardcover,28/08/2018,['10 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781608869800
['Immortal Hulk Vol. 1: Or Is He Both?'],"
Ewing,Al",24.63,30.08,128,['MARVEL COMICS GROUP           '],Paperback,04/12/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781302912550
['Chilling Adventures of Sabrina'],"
Aguirre-Sacasa,Roberto",25.37,30.98,160,['ARCHIE COMIC PUBN             '],Paperback,16/08/2016,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781627389877
['Tomie'],"
Ito,Junji",55.04,64.83,752,['VIZ LLC                       '],Hardcover,20/12/2016,['36 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781421590561
