name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['Appropriate/An Octoroon: Plays'],"
Jacobs-Jenkins,Branden",29.61,34.88,260,['THEATRE COMMUNICATIONS GROUP  '],Paperback,19/03/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781559364904
['Macbeth: Third Series'],"
Shakespeare,William",25.21,29.7,408,['ARDEN SHAKESPEARE             '],Paperback,23/04/2015,['73 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781904271413
['Macbeth'],"
Shakespeare,William",4.55,5.37,96,['DOVER PUBN INC                '],Paperback,23/12/1993,['145 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486278025
['Rosencrantz and Guildenstern Are Dead'],"
Stoppard,Tom",21.3,25.1,128,['GROVE/ATLANTIC INC            '],Paperback,11/04/2017,['222 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780802126214
['Romeo and Juliet: Oxford School Shakespeare'],"
Shakespeare,William",15.14,17.84,142,['OXFORD UNIV PR                '],Paperback,01/04/2009,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198321668
['Julius Caesar'],"
Shakespeare,William",8.83,10.41,239,['POCKET BOOKS (FOLGER)         '],Mass,01/01/2004,['306 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743482745
['Waiting for Godot: A Tragicomedy in Two Acts'],"
Beckett,Samuel",18.58,21.89,85,['GROVE/ATLANTIC INC            '],Paperback,17/05/2011,['256 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780802144423
['Death of a Salesman'],"
Miller,Arthur",18.58,21.89,139,['PENGUIN GROUP                 '],Paperback,28/10/1976,['102 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140481341
['Macbeth'],"
Shakespeare,William",14.91,17.57,127,['OXFORD UNIV PR                '],Paperback,01/04/2009,['25 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198324003
['The Tempest'],"
Shakespeare,William",8.93,10.52,218,['POCKET BOOKS (FOLGER)         '],Mass,01/07/2004,['167 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743482837
['The Glass Menagerie'],"
Williams,Tennessee",17.46,20.57,105,['NEW DIRECTIONS                '],Paperback,17/06/1999,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780811214049
['Antigone'],"
Sophocles",4.32,5.1,64,['DOVER PUBN INC                '],Paperback,12/10/1993,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486278049
['Much ADO about Nothing'],"
Shakespeare,William",8.83,10.41,304,['POCKET BOOKS (FOLGER)         '],Mass,01/01/2004,['55 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743482752
['The Taming of the Shrew'],"
Shakespeare,William",9.29,10.95,304,['POCKET BOOKS (FOLGER)         '],Mass,01/01/2004,['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743477574
['The Importance of Being Earnest'],"
Wilde,Oscar",4.19,4.94,64,['DOVER PUBN INC                '],Paperback,01/07/1990,['81 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486264783
['The Antipodes (Tcg Edition)'],"
Baker,Annie",20.23,23.83,160,['THEATRE COMMUNICATIONS GROUP  '],Paperback,18/12/2018,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781559365680
['Hamlet'],"
Shakespeare,William",15.6,18.38,178,['OXFORD UNIV PR                '],Paperback,01/04/2009,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198328704
['For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf'],"
Shange,Ntozake",20.35,23.97,260,['THEATRE COMMUNICATIONS GROUP  '],Paperback,19/03/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780684843261
"[""Four Major Plays: A Doll's House/Ghosts/Hedda Gabler/The Master Builder""]","
Ibsen,Henrik",15.51,18.27,408,['ARDEN SHAKESPEARE             '],Paperback,23/04/2015,['73 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780199536191
['Oedipus Rex'],"
Sophocles",4.19,4.94,96,['DOVER PUBN INC                '],Paperback,23/12/1993,['145 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486268774
['Hamlet'],"
Shakespeare,William",5.9,6.95,128,['GROVE/ATLANTIC INC            '],Paperback,11/04/2017,['222 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486272788
['The Crucible'],"
Miller,Arthur",18.63,21.95,142,['OXFORD UNIV PR                '],Paperback,01/04/2009,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140481389
['A Very Very Very Dark Matter'],"
McDonagh,Martin",23.89,28.15,239,['POCKET BOOKS (FOLGER)         '],Paperback,01/01/2004,['306 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780571346912
['The Three Theban Plays: Antigone; Oedipus the King; Oedipus at Colonus'],"
Sophocles",21.84,25.73,85,['GROVE/ATLANTIC INC            '],Paperback,17/05/2011,['256 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140444254
['Hamlet'],"
Shakespeare,William",9.19,10.83,139,['PENGUIN GROUP                 '],Mass,28/10/1976,['102 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780451526922
['King Lear'],"
Shakespeare,William",9.29,10.95,127,['OXFORD UNIV PR                '],Mass,01/04/2009,['25 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743482769
['The Tragedy of Macbeth'],"
Shakespeare,William",15.83,18.65,218,['POCKET BOOKS (FOLGER)         '],Paperback,01/07/2004,['167 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781451694727
['Macbeth'],"
Shakespeare,William",12.13,14.29,105,['NEW DIRECTIONS                '],Paperback,17/06/1999,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143128564
['Julius Caesar'],"
Shakespeare,William",14.91,17.57,64,['DOVER PUBN INC                '],Paperback,12/10/1993,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198328681
['Angels in America: A Gay Fantasia on National Themes'],"
Kushner,Tony",26.15,30.81,304,['POCKET BOOKS (FOLGER)         '],Paperback,01/01/2004,['55 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781559363846
['Medea'],"
Euripides",4.32,5.1,304,['POCKET BOOKS (FOLGER)         '],Paperback,01/01/2004,['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486275482
['Twelfth Night: Or What You Will'],"
Shakespeare,William",8.83,10.41,64,['DOVER PUBN INC                '],Mass,01/07/1990,['81 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743482776
['Indecent (Tcg Edition)'],"
Vogel,Paula",20.0,23.56,160,['THEATRE COMMUNICATIONS GROUP  '],Paperback,18/12/2018,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781559365475
['King Henry IV Part 2: Third Series'],"
Shakespeare,William",28.65,33.75,178,['OXFORD UNIV PR                '],Paperback,01/04/2009,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781904271376
['Romeo and Juliet'],"
Shakespeare,William",16.74,19.72,80,['SCRIBNER  MACMILLAN           '],Paperback,01/09/1997,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781451621709
['Julius Caesar'],"
Shakespeare,William",4.42,5.21,355,['OXFORD UNIV PR                '],Paperback,01/07/2008,['42 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780486268767
['4.48 Psychosis'],"
Kane,Sarah",35.71,42.07,64,['DOVER PUBN INC                '],Paperback,01/06/1991,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780413748300
['The Merchant of Venice'],"
Shakespeare,William",8.88,10.46,128,['DOVER PUBN INC                '],Mass,24/09/1992,['39 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743477567
"['Sophocles, the Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone']","
Fitts,Dudley",21.32,25.12,152,['PENGUIN GROUP                 '],Paperback,28/10/1976,['122 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780156027649
