name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
Pocket Ref,"
Glover,ThomasJ.",16.17,21.59,864,SEQUOIA PUB INC               ,Paperback,01/09/2010,['249 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781885071620
A History of America in 100 Maps,"
Schulten,Susan",64.63,80.89,256,UNIV OF CHICAGO PR            ,Hardcover,21/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780226458618
Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,"
Kurson,Robert",36.63,48.91,384,RANDOM HOUSE INC              ,Hardcover,03/04/2018,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780812988703
Ignition!: An Informal History of Liquid Rocket Propellants,"
Clark,JohnDrury",33.89,45.26,302,RUTGERS UNIV PR               ,Paperback,23/05/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780813595832
The Writer's Map: An Atlas of Imaginary Lands,"
Lewis-Jones,Huw",76.77,96.09,256,UNIV OF CHICAGO PR            ,Hardcover,11/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780226596631
The Lego Boost Idea Book: 95 Simple Robots and Hints for Making More!,"
Isogawa,Yoshihito",34.0,45.4,264,NO STARCH PR                  ,Paperback,25/09/2018,['24 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781593279844
"Cadillac Desert: The American West and Its Disappearing Water, Revised Edition","
Reisner,Marc",26.22,35.01,582,PENGUIN GROUP                 ,Paperback,01/06/1993,['26 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140178241
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,"
Miodownik,Mark",19.75,26.37,272,MARINER BOOKS                 ,Paperback,17/03/2015,['94 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544483941
The Perfectionists: How Precision Engineers Created the Modern World,"
Winchester,Simon",38.21,51.02,416,HARPER COLLINS                ,Hardcover,08/05/2018,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062652553
Practical Electronics for Inventors,"
Scherz,Paul",66.5,83.24,1056,MCGRAW HILL BOOK CO           ,Paperback,24/03/2016,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781259587542
The Beekeeper's Handbook,"
Sammataro,Diana",41.2,55.01,308,CORNELL UNIV PR               ,Paperback,13/05/2011,['4761 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780801476945
"The Backyard Beekeeper, 4th Edition: An Absolute Beginner's Guide to Keeping Bees in Your Yard and Garden","
Flottum,Kim",35.14,46.92,240,QUARRY                        ,Paperback,02/01/2018,['47 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631593321
This Blessed Earth: A Year in the Life of an American Family Farm,"
Genoways,Ted",20.35,27.18,240,W W NORTON & CO INC           ,Paperback,20/11/2018,['248 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393356458
