name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do","
NationalGeographic",38.97,52.03,288,NATL GEOGRAPHIC CHILDRENS     ,Paperback,07/02/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781426216909
Maui Revealed: The Ultimate Guidebook,"
Doughty,Andrew",27.02,36.08,316,WIZARD PUBN                   ,Paperback,15/02/2018,['124 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780996131889
Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,"
Foer,Joshua",54.91,68.73,480,WORKMAN PUB CO                ,Hardcover,20/09/2016,['154 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780761169086
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,"
Jensen,Jamie",50.34,63.01,952,AVALON TRAVEL PUBL            ,Paperback,27/03/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781640493841
Lonely Planet Portugal,"
LonelyPlanet",36.22,48.37,544,LONELY PLANET PUB             ,Paperback,21/03/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781786573223
Walt Disney's Disneyland,"
Nichols,Chris",106.66,133.5,328,TASCHEN AMER LLC              ,Hardcover,24/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9783836563482
The Ultimate Kauai Guidebook: Kauai Revealed,"
Doughty,Andrew",26.41,35.27,280,WIZARD PUBN                   ,Paperback,01/01/2017,['19 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780996131841
"Oahu Revealed: The Ultimate Guide to Honolulu, Waikiki & Beyond","
Doughty,Andrew",27.02,36.08,316,WIZARD PUBN                   ,Paperback,01/08/2018,['479 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780996131865
The Next Exit 2019: USA Interstate Highway Exit Directory,"
Mark,Watson",27.58,36.83,500,NEXT EXIT INC                 ,Paperback,15/01/2019,['1403 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780984692170
"Your Guide to the National Parks, 2nd Edition: The Complete Guide to All 59 National Parks","
Oswald,MichaelJoseph",38.18,50.98,704,STONE ROAD PR                 ,Paperback,01/01/2017,['53 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781621280675
Lonely Planet Maui,"
LonelyPlanet",28.93,38.63,320,LONELY PLANET PUB             ,Paperback,19/09/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781786577047
