name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"['The Bluebook: A Uniform System of Citation, 20th Edition']","
HarvardLawReview",98.46,115.98,0,['CLAITORS PUB DIVISION         '],Spiral,12/05/2015,['137 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780692400197
"['North Carolina Notary Public Manual, 2016']","
NorthCarolinaDepartmentoftheSecreta",45.93,54.11,176,['UNC SCHOOL OF GOVERNMENT      '],Paperback,26/02/2016,['1244 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781560118510
['We the People: A Progressive Reading of the Constitution for the Twenty-First Century'],"
Chemerinsky,Erwin",20.05,25.1,320,['PICADOR                       '],Paperback,13/11/2018,['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250166005
"['10 Actual, Official LSAT Preptests Volume VI: (preptests 72-81)']","
Council,LawSchool",52.2,61.49,420,['LAW SCHOOL ADMISSION COUNCIL  '],Paperback,04/10/2017,['62 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780998339788
['The Constitution and the Declaration of Independence: The Constitution of the United States of America'],"
Skousen,PaulB.",10.35,12.96,92,['IZZARD INK                    '],Paperback,23/08/2016,['146 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781630729059
"['The Tools of Argument: How the Best Lawyers Think, Argue, and Win']","
Trachtman,JoelP.",21.83,27.33,202,['CREATESPACE                   '],Paperback,25/07/2013,['134 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781481246385
"['Social Security, Medicare and Government Pensions: Get the Most Out of Your Retirement and Medical Benefits']","
Matthews,Joseph",44.69,52.64,496,['NOLO PR                       '],Paperback,22/02/2019,['143 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781413325874
['The Anti-Federalist Papers and the Constitutional Convention Debates'],"
Ketcham,Ralph",11.47,14.36,480,['SIGNET CLASSICS               '],Mass,06/05/2003,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780451528841
"['Passkey Learning Systems EA Review Complete: Individuals, Businesses, and Representation: Enrolled Agent Exam Study Guide 2018-2019 Edition (Hardcover']","
Gramkow,Richard",329.76,388.42,906,['LIGHTNING SOURCE INC          '],Hardcover,15/03/2018,['118 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780999804308
"[""Black's Law Dictionary 10th Edition, Hardcover""]","
Garner,BryanA.,Ed.",226.3,266.56,2016,['CLAITORS PUB DIVISION         '],Hardcover,01/05/2014,['5 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780314613004
"[""Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales""]","
Bass,William",23.25,29.1,304,['BERKLEY PUB GROUP             '],Paperback,05/10/2004,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780425198322
['Universal Declaration of Human Rights'],"
UnitedNationsPublications",6.82,8.54,14,['UNITED NATIONS PUBN           '],Paperback,04/06/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9789211013641
"[""Conan Doyle for the Defense: The True Story of a Sensational British Murder, a Quest for Justice, and the World's Most Famous Detective Writer""]","
Fox,Margalit",38.26,45.07,352,['RANDOM HOUSE INC              '],Hardcover,26/06/2018,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399589454
['Re-Engineering Humanity'],"
Frischmann,Brett",44.58,52.52,430,['CAMBRIDGE UNIV PR             '],Hardcover,19/04/2018,['118 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781107147096
['The Law of One: Book V: Personal Material'],"
McCarty,Jim",21.32,26.69,204,['SCHIFFER PUB                  '],Paperback,28/02/1998,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780924608216
"[""California Employment Law: An Employer's Guide: Revised & Updated for 2018""]","
McDonald,JamesJ.",71.51,84.23,240,['SOC FOR HUMAN RESOURCE MGMT   '],Paperback,01/04/2018,['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781586444815
"['ABA/AARP Checklist for My Family: A Guide to My History, Financial Plans and Final Wishes']","
Hurme,SallyBalch",27.7,34.67,222,['AMER BAR ASSN                 '],Paperback,07/05/2015,['51 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781627229821
['Examples & Explanations for Civil Procedure'],"
Glannon,JosephW.",130.85,154.13,752,['ASPEN PUBL                    '],Paperback,17/01/2018,['131 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781454894025
"['America, Compromised']","
Lessig,Lawrence",31.92,39.96,240,['UNIV OF CHICAGO PR            '],Hardcover,15/11/2018,['29 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780226316536
"[""Insane: America's Criminal Treatment of Mental Illness""]","
Roth,Alisa",40.14,47.29,320,['BASIC BOOKS                   '],Hardcover,03/04/2018,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780465094196
"['Hate: Why We Should Resist It with Free Speech, Not Censorship']","
Strossen,Nadine",34.97,41.2,0,['CLAITORS PUB DIVISION         '],Hardcover,12/05/2015,['137 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780190859121
