name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
Sapiens: A Brief History of Humankind,"
Harari,YuvalNoah",38.48,45.33,464,PERENNIAL                     ,Paperback,15/05/2018,['327 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062316110
Killing the SS: The Hunt for the Worst War Criminals in History,"
O'Reilly,Bill",42.41,49.96,320,HENRY HOLT & CO               ,Hardcover,09/10/2018,['544 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250165541
Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man,"
Vincent,Lynn",44.03,51.87,592,SIMON & SCHUSTER              ,Hardcover,10/07/2018,['160 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501135941
"Vietnam: An Epic Tragedy, 1945-1975","
Hastings,Max",59.31,69.86,896,HARPER COLLINS                ,Hardcover,16/10/2018,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062405661
The Library Book,"
Orlean,Susan",41.06,48.37,336,SIMON & SCHUSTER              ,Hardcover,16/10/2018,['532 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781476740188
Sapiens: A Brief History of Humankind,"
Harari,YuvalNoah",57.93,68.24,464,HARPER COLLINS                ,Hardcover,10/02/2015,['100 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062316097
These Truths: A History of the United States,"
Lepore,Jill",62.81,73.99,960,W W NORTON & CO INC           ,Hardcover,18/09/2018,['103 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393635249
Valley Forge,"
Drury,Bob",44.47,52.38,432,SIMON & SCHUSTER              ,Hardcover,02/10/2018,['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501152719
Army of None: Autonomous Weapons and the Future of War,"
Scharre,Paul",43.74,51.53,448,W W NORTON & CO INC           ,Hardcover,24/04/2018,['127 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393608984
21 Lessons for the 21st Century,"
Harari,YuvalNoah",41.29,48.64,400,SPIEGEL & GRAU                ,Hardcover,04/09/2018,['130 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525512172
"Barracoon: The Story of the Last ""Black Cargo""","
Hurston,ZoraNeale",34.34,40.45,208,AMISTAD                       ,Hardcover,08/05/2018,['186 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062748201
History of the World Map by Map,"
DK",101.12,119.11,440,DK PUB                        ,Hardcover,23/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781465475855
A History of the World in 6 Glasses,"
Standage,Tom",24.12,30.19,311,FRANK R WALKER CO (IL)        ,Paperback,01/04/2006,['867 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780802715524
The Soul of America: The Battle for Our Better Angels,"
Meacham,Jon",51.14,60.24,416,RANDOM HOUSE INC              ,Hardcover,08/05/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399589812
Presidents of War,"
Beschloss,Michael",55.27,65.11,752,CROWN PUB INC                 ,Hardcover,09/10/2018,['86 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780307409607
The Red and the Blue: The 1990s and the Birth of Political Tribalism,"
Kornacki,Steve",44.69,52.64,512,ECCO                          ,Hardcover,02/10/2018,['78 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062438980
Open Veins of Latin America: Five Centuries of the Pillage of a Continent,"
Galeano,Eduardo",30.32,37.95,360,MONTHLY REVIEW PR             ,Paperback,01/01/1997,['212 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780853459910
Code Girls: The Untold Story of the American Women Code Breakers of World War II,"
Mundy,Liza",23.58,29.52,448,HACHETTE AUDIO PA             ,Paperback,02/10/2018,['34 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316352543
God Save Texas: A Journey Into the Soul of the Lone Star State,"
Wright,Lawrence",40.31,47.49,368,ALFRED A KNOPF                ,Hardcover,17/04/2018,['60 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525520108
