name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
The Flame: Poems Notebooks Lyrics Drawings,"
Cohen,Leonard",35.9,47.94,288,FARRAR STRAUS & GIROUX        ,Hardcover,02/10/2018,['218 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374156060
The Great American Read: The Book of Books: Explore America's 100 Best-Loved Novels,"
PBS",43.3,57.82,288,BLACK DOG & LEVENTHAL         ,Hardcover,21/08/2018,['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316417556
The Best American Short Stories 2018,"
Gay,Roxane",20.32,27.13,336,MARINER BOOKS                 ,Paperback,02/10/2018,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544582941
Wilderness Essays,"
Muir,John",22.51,30.06,263,GIBBS SMITH PUB               ,Hardcover,01/04/2011,['2898 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781423607120
The Patch,"
McPhee,John",31.81,42.47,256,FARRAR STRAUS & GIROUX        ,Hardcover,13/11/2018,['57 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374229481
Upstream: Selected Essays,"
Oliver,Mary",31.4,41.93,192,PENGUIN PR                    ,Hardcover,11/10/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781594206702
"Well-Read Black Girl: Finding Our Stories, Discovering Ourselves","
Edim,Glory",25.21,33.66,272,BALLANTINE BOOKS              ,Hardcover,30/10/2018,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525619772
The Odyssey,"
Homer",27.09,36.17,592,W W NORTON & CO INC           ,Paperback,06/11/2018,['48 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393356250
Citizen: An American Lyric,"
Rankine,Claudia",24.8,33.12,169,GRAY WOLF PR                  ,Paperback,07/10/2014,['114 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781555976903
Call Them by Their True Names: American Crises (and Essays),"
Solnit,Rebecca",19.54,26.1,166,HAYMARKET BOOKS               ,Paperback,04/09/2018,['138 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781608469468
The Collected Schizophrenias: Essays,"
Wang,EsmeWeijun",23.0,30.72,224,GRAY WOLF PR                  ,Paperback,05/02/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781555978273
Long Life: Essays and Other Writings,"
Oliver,Mary",21.85,29.18,120,DA CAPO PR                    ,Paperback,02/03/2005,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780306814129
How to Write an Autobiographical Novel: Essays,"
Chee,Alexander",19.79,26.43,288,MARINER BOOKS                 ,Paperback,17/04/2018,['34 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328764522
The Best American Essays 2017,"
Jamison,Leslie",20.2,26.97,336,MARINER BOOKS                 ,Paperback,03/10/2017,['478 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544817333
Tell Me How It Ends: An Essay in 40 Questions,"
Luiselli,Valeria",15.44,20.62,128,COFFEE HOUSE PR               ,Paperback,04/04/2017,['108 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781566894951
The Best American Essays 2018,"
Als,Hilton",19.99,26.7,336,MARINER BOOKS                 ,Paperback,02/10/2018,['98 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544817340
The End of the End of the Earth: Essays,"
Franzen,Jonathan",31.81,42.47,240,FARRAR STRAUS & GIROUX        ,Hardcover,13/11/2018,['303 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374147938
War and Peace,"
Tolstoy,Leo",43.62,58.24,1392,OXFORD UNIV PR                ,Hardcover,28/11/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198800545
Of Kings and Things: Strange Tales and Decadent Poems by Count Eric Stanislaus Stenbock,"
Stenbock,EricStanislaus",24.57,32.81,360,STRANGE ATTRACTOR             ,Paperback,15/01/2019,['19 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781907222573
"The Source of Self-Regard: Selected Essays, Speeches, and Meditations","
Morrison,Toni",38.07,50.84,368,ALFRED A KNOPF                ,Hardcover,12/02/2019,['169 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525521037
Condition of Secrecy,"
Christensen,Inger",19.84,26.49,288,FARRAR STRAUS & GIROUX        ,Paperback,02/10/2018,['218 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780811228114
Sister Outsider: Essays and Speeches,"
Lorde,Audre",21.3,28.44,288,BLACK DOG & LEVENTHAL         ,Paperback,21/08/2018,['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781580911863
Slouching Towards Bethlehem: Essays,"
Didion,Joan",18.66,24.92,336,MARINER BOOKS                 ,Paperback,02/10/2018,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374531386
The Complete Fiction of H.P. Lovecraft,"
Lovecraft,H.P.",68.74,86.04,263,GIBBS SMITH PUB               ,Hardcover,01/04/2011,['2898 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631060014
No Time to Spare: Thinking about What Matters,"
LeGuin,UrsulaK.",18.08,24.15,256,FARRAR STRAUS & GIROUX        ,Paperback,13/11/2018,['57 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328507976
The White Album,"
Didion,Joan",18.3,24.44,192,PENGUIN PR                    ,Paperback,11/10/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374532079
"Mad, Bad, Dangerous to Know: The Fathers of Wilde, Yeats and Joyce","
Toibin,Colm",32.21,43.01,272,BALLANTINE BOOKS              ,Hardcover,30/10/2018,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781476785172
McSweeney's Issue 54: The End of Trust,"
Eggers,Dave",43.98,58.73,592,W W NORTON & CO INC           ,Hardcover,06/11/2018,['48 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781944211608
Sharp: The Women Who Made an Art of Having an Opinion,"
Dean,Michelle",33.62,44.89,169,GRAY WOLF PR                  ,Hardcover,07/10/2014,['114 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780802125095
What If This Were Enough?: Essays,"
Havrilesky,Heather",32.15,42.93,166,HAYMARKET BOOKS               ,Hardcover,04/09/2018,['138 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780385542883
Grapefruit: A Book of Instructions and Drawings by Yoko Ono,"
Ono,Yoko",24.56,32.8,224,GRAY WOLF PR                  ,Hardcover,05/02/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780743201100
No Time to Spare: Thinking about What Matters,"
LeGuin,UrsulaK.",27.53,36.76,120,DA CAPO PR                    ,Hardcover,02/03/2005,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328661593
Impossible Owls: Essays,"
Phillips,Brian",19.68,26.28,288,MARINER BOOKS                 ,Paperback,17/04/2018,['34 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374175337
Notes of a Native Son,"
Baldwin,James",18.91,25.25,336,MARINER BOOKS                 ,Paperback,03/10/2017,['478 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780807006238
The Best American Nonrequired Reading 2018,"
Heti,Sheila",19.99,26.7,128,COFFEE HOUSE PR               ,Paperback,04/04/2017,['108 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328465818
Love Can Be: A Literary Collection about Our Animals,"
McCune,Louisa",25.15,33.59,336,MARINER BOOKS                 ,Paperback,02/10/2018,['98 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780999699300
Strenuous Life,"
Roosevelt,Theodore",11.94,15.95,240,FARRAR STRAUS & GIROUX        ,Hardcover,13/11/2018,['303 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781557091420
The Displaced: Refugee Writers on Refugee Lives,"
Nguyen,VietThanh",30.3,40.46,1392,OXFORD UNIV PR                ,Hardcover,28/11/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781419729485
Essays After Eighty,"
Hall,Donald",18.53,24.75,360,STRANGE ATTRACTOR             ,Paperback,15/01/2019,['19 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544570313
As You Like It: Third Series,"
Proudfoot,Richard",27.75,37.06,368,ALFRED A KNOPF                ,Paperback,12/02/2019,['169 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781904271222
The Living Mountain: A Celebration of the Cairngorm Mountains of Scotland,"
Shepherd,Nan",18.85,25.17,160,NEW DIRECTIONS                ,Paperback,27/11/2018,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780857861832
Edgar Allan Poe Complete Tales & Poems,"
Poe,EdgarAllan",28.03,37.43,190,CROSSING PR                   ,Hardcover,01/08/2007,['5 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780785814535
Against Everything: Essays,"
Greif,Mark",20.7,27.64,238,FARRAR STRAUS & GIROUX        ,Paperback,28/10/2008,['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781101971741
"Words Are My Matter: Writings about Life and Books, 2000-2016, with a Journal of a Writera's Week","
LeGuin,UrsulaK.",36.37,48.56,1112,RACE POINT PUB                ,Hardcover,27/10/2014,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781618731340
The Hour of Land: A Personal Topography of America's National Parks,"
Williams,TerryTempest",41.32,55.18,240,MARINER BOOKS                 ,Hardcover,15/01/2019,['139 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374280093
Pops: Fatherhood in Pieces,"
Chabon,Michael",23.78,31.76,222,FARRAR STRAUS & GIROUX        ,Hardcover,10/11/2009,['19 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062834621
Wilderness Essays,"
Muir,John",22.57,30.14,272,SCRIBNER  MACMILLAN           ,Paperback,30/10/2018,['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781684222391
The Autobiography of Benjamin Franklin,"
Franklin,Benjamin",7.63,10.19,200,MCSWEENEYS                    ,Paperback,20/11/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781640320031
