name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url,Category
"['The Whole Smiths Good Food Cookbook: Whole30 Endorsed, Delicious Real Food Recipes to Cook All Year Long']","
Smith,Michelle",48.36,56.97,288,['HOUGHTON MIFFLIN              '],Hardcover,05/06/2018,21,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328915092,Cooking
"[""Delish: Eat Like Every Day's the Weekend""]","
EditorsofDelish",50.88,59.93,416,['HOUGHTON MIFFLIN              '],Hardcover,16/10/2018,42,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781328498861,Cooking
"[""Carla Hall's Soul Food: Everyday and Celebration""]","
Hall,Carla",48.35,56.95,336,['HARPER WAVE                   '],Hardcover,23/10/2018,90,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062669834,Cooking
['Great British Bake Off: Big Book of Baking'],"
Collister,Linda",70.85,83.46,320,['BBC BOOKS                     '],Hardcover,23/09/2014,61,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781849904834,Cooking
['Tequila Mockingbird: Cocktails with a Literary Twist'],"
Federle,Tim",20.9,25.52,160,['RUNNING PR BOOK PUBL          '],Hardcover,23/04/2013,116,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780762448654,Cooking
['Ottolenghi Simple: A Cookbook'],"
Ottolenghi,Yotam",59.63,70.24,320,['TEN SPEED PR                  '],Hardcover,16/10/2018,82,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781607749165,Cooking
['The Kitchen Shortcut Bible: More Than 200 Recipes to Make Real Food Real Fast'],"
Weinstein,Bruce",47.9,56.43,352,['LITTLE BROWN & CO INC         '],Hardcover,19/06/2018,20,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316509718,Cooking
['Taste of Home Instant Pot Cookbook: Savor 175 Must-Have Recipes Made Easy in the Instant Pot'],"
TasteofHome",24.52,29.94,256,['READERS DIGEST CHILDRENS      '],Paperback,11/09/2018,22,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781617657665,Cooking
"['The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!']","
Drummond,Ree",52.24,61.54,400,['WILLIAM MORROW & CO           '],Hardcover,20/10/2015,56,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062225245,Cooking
['Cook Like a Pro: Recipes and Tips for Home Cooks'],"
Garten,Ina",54.59,64.3,272,['POTTER CLARKSON N             '],Hardcover,23/10/2018,435,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780804187046,Cooking
['The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals'],"
Randolph,Laurel",22.43,27.39,176,['ROCKRIDGE PR                  '],Paperback,06/04/2016,100,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781623156121,Cooking
['Cravings: Hungry for More'],"
Teigen,Chrissy",48.35,56.95,256,['POTTER CLARKSON N             '],Hardcover,18/09/2018,281,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781524759728,Cooking
['Cooking for Jeffrey: A Barefoot Contessa Cookbook'],"
Garten,Ina",53.9,63.49,256,['POTTER CLARKSON N             '],Hardcover,25/10/2016,30,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780307464897,Cooking
['The Cookie Book: Decadent Bites for Every Occasion'],"
Firth,Rebecca",31.85,38.9,192,['PAGE STREET PUB               '],Paperback,18/09/2018,24,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781624146374,Cooking
"['My Bread: The Revolutionary No-Work, No-Knead Method']","
Lahey,Jim",54.02,63.63,222,['W W NORTON & CO INC           '],Hardcover,01/10/2009,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393066302,Cooking
['Great British Bake Off - Perfect Cakes & Bakes to Make at Home: Official Tie-In to the 2016 Series'],"
Collister,Linda",49.51,58.32,320,['HODDER & STROUGHTON           '],Hardcover,13/12/2016,86,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781473615441,Cooking
['Everyday Dorie: The Way I Cook'],"
Greenspan,Dorie",57.57,67.81,368,['RUX MARTIN                    '],Hardcover,23/10/2018,25,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780544826984,Cooking
['How to Boil Water: Life Beyond Takeout'],"
FoodNetworkKitchens",45.75,53.89,254,['HOUGHTON MIFFLIN              '],Hardcover,01/08/2006,0,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780696226861,Cooking
['Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck'],"
ThugKitchen",39.41,48.12,212,['RODALE PR                     '],Hardcover,07/10/2014,22,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781623363581,Cooking
"[""Anthony Bourdain's Les Halles Cookbook: Strategies, Recipes, and Techniques of Classic Bistro Cooking""]","
Bourdain,Anthony",61.51,72.45,304,['BLOOMSBURY                    '],Hardcover,19/10/2004,14,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781582341804,Cooking
"[""Paul Hollywood's Bread""]","
Hollywood,Paul",60.94,71.78,288,['HOUGHTON MIFFLIN              '],Hardcover,05/06/2018,21,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781408840696,Cooking
['Matty Matheson: A Cookbook'],"
Matheson,Matty",57.57,67.81,416,['HOUGHTON MIFFLIN              '],Hardcover,16/10/2018,42,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781419732454,Cooking
['Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza'],"
Forkish,Ken",63.57,74.88,336,['HARPER WAVE                   '],Hardcover,23/10/2018,90,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781607742739,Cooking
['World of Warcraft: The Official Cookbook'],"
Monroe-Cassel,Chelsea",64.09,75.5,320,['BBC BOOKS                     '],Hardcover,23/09/2014,61,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781608878048,Cooking
['Forks Over Knives--The Cookbook: Over 300 Recipes for Plant-Based Eating All Through the Year'],"
Sroufe,Del",31.17,38.06,160,['RUNNING PR BOOK PUBL          '],Paperback,23/04/2013,116,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615190614,Cooking
['I Heart Kosher: Beautiful Recipes from My Kitchen'],"
Kushner,Kim",60.67,71.47,320,['TEN SPEED PR                  '],Hardcover,16/10/2018,82,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781681884196,Cooking
['The Ultimate Vegan Cookbook for Your Instant Pot: 80 Easy and Delicious Plant-Based Recipes That You Can Make in Half the Time'],"
Hester,Kathy",33.81,41.29,352,['LITTLE BROWN & CO INC         '],Paperback,19/06/2018,20,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781624143380,Cooking
"['The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal You']","
Vogel,Leanne",57.51,67.74,256,['READERS DIGEST CHILDRENS      '],Paperback,11/09/2018,22,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781628600162,Cooking
['The Meateater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler'],"
Rinella,Steven",58.02,68.35,400,['WILLIAM MORROW & CO           '],Hardcover,20/10/2015,56,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399590078,Cooking
"['The Noma Guide to Fermentation: Including Koji, Kombuchas, Shoyus, Misos, Vinegars, Garums, Lacto-Ferments, and Black Fruits and Vegetables']","
Redzepi,Rene",61.73,72.72,272,['POTTER CLARKSON N             '],Hardcover,23/10/2018,435,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781579657185,Cooking
['Together: Our Community Cookbook'],"
TheHubbCommunityKitchen",26.37,32.21,176,['ROCKRIDGE PR                  '],Hardcover,06/04/2016,100,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781984824080,Cooking
"['Smart Meal Prep for Beginners: Recipes and Weekly Plans for Healthy, Ready-To-Go Meals']","
Amidor,Toby,MSRdCdn",23.85,29.13,256,['POTTER CLARKSON N             '],Paperback,18/09/2018,281,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781641521253,Cooking
"['Vegetarian Indian Cooking with Your Instant Pot: 75 Traditional Recipes That Are Easier, Quicker and Healthier']","
Singh,Manali",32.17,39.28,256,['POTTER CLARKSON N             '],Paperback,25/10/2016,30,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781624146459,Cooking
"[""The Great Minnesota Cookie Book: Award-Winning Recipes from the Star Tribune's Holiday Cookie Contest""]","
Dean,LeeSvitak",36.6,44.7,192,['PAGE STREET PUB               '],Hardcover,18/09/2018,24,https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781517905835,Cooking
