name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"['Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be']","
Hollis,Rachel",30.18,37.78,240,['NELSONWORD PUB GROUP          '],Hardcover,06/02/2018,['1537 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781400201655
['St. Joseph Sunday Missal and Hymnal for 2019'],"
InternationalCommissionon,EnglishIn",5.74,7.19,0,['CATHOLIC BOOK                 '],Paperback,01/09/2018,['894 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781947070257
['Letters to the Church'],"
Chan,Francis",22.07,27.63,224,['DAVID C COOK PUB              '],Paperback,01/09/2018,['217 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780830776580
['Healing the Soul of a Woman: How to Overcome Your Emotional Wounds'],"
Meyer,Joyce",34.47,40.61,272,['FAITHWORDS                    '],Hardcover,11/09/2018,['44 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781455560240
['The True Saint Nicholas: Why He Matters to Christmas'],"
Bennett,WilliamJ.",26.74,33.47,128,['HOWARD PUB CO INC             '],Hardcover,06/11/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781982107567
"[""Keller's Heart""]","
Gray,John",17.38,21.76,40,['PARACLETE PR                  '],Hardcover,14/02/2019,['370 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781640601741
['A New Approach to Studying the Book of Mormon: Another Testament of Jesus Christ'],"
Rosenvall,LynnA.",26.19,32.78,0,['OLIVE LEAF FOUNDATION         '],Paperback,10/07/2017,['234 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780998717807
['Saint Joseph Guide for Christian Prayer: The Liturgy of the Hours (2019)'],"
CatholicBookPublishing",4.25,5.33,0,['CATHOLIC BOOK                 '],Paperback,31/10/2018,['296 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781947070325
['100 Days of Bible Promises: A Devotional Journal'],"
Noel,Shanna",24.44,30.59,208,['DAYSPRING GREETING CARDS      '],Hardcover,05/03/2018,['521 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781684082162
['Live Original Devotional'],"
Robertson,Sadie",22.29,27.9,256,['HOWARD PUB CO INC             '],Hardcover,04/10/2016,['43 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501126512
['33 Days to Morning Glory: A Do-It- Yourself Retreat in Preparation for Marian Consecration'],"
Gaitley,MichaelE.",23.37,29.26,195,['MARIAN PR                     '],Paperback,20/12/2011,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781596142442
['Parenting with Love and Logic: Teaching Children Responsibility'],"
Cline,Foster",35.7,42.06,271,['NAV PR                        '],Hardcover,03/05/2006,['2355 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781576839546
['The Rational Bible: Exodus'],"
Prager,Dennis",59.89,70.55,520,[],Hardcover,02/04/2018,['175 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781621577720
['Godwink Christmas Stories: Discover the Most Wondrous Gifts of the Season'],"
Rushnell,Squire",26.23,32.84,304,['HOWARD PUB CO INC             '],Hardcover,23/10/2018,['35 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501199950
